source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.58,,6,"[247, 140, 506, 990]",doc28_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 2. Broad band (1.8-200 keV) fits with our BLM... Period Γ ... J96L 1.58^{+0.39}_{-0.29},
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.51,,6,"[247, 140, 506, 834]",doc28_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 2... J96H 1.51^{+0.05}_{-0.22},
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.42,,10,"[358, 108, 617, 784]",doc28_p10,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 3... D96 1.42,
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.51,,10,"[277, 140, 476, 832]",doc28_p10,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 3... J99L1 1.51,
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.59,,10,"[358, 108, 617, 784]",doc28_p10,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 3... J99H 1.59,
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.47,,10,"[358, 108, 617, 784]",doc28_p10,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 3... J99L2 1.47,
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.3,,10,"[358, 108, 617, 784]",doc28_p10,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 3... D00 1.30,
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.5,,10,"[358, 108, 617, 784]",doc28_p10,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 3... D01 1.50,
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.63,,6,"[247, 140, 506, 834]",doc28_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 2... D96 1.63^{+0.22}_{-0.27},
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.59,,6,"[319, 108, 655, 785]",doc28_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 2... J99L1 1.59^{+0.18}_{-0.17},
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.74,,6,"[247, 140, 506, 834]",doc28_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 2... J99H 1.74^{+0.22}_{-0.17},
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.56,,6,"[247, 140, 506, 834]",doc28_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 2... J99L2 1.56^{+0.21}_{-0.29},
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.71,,6,"[319, 108, 655, 785]",doc28_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 2... D00 1.71^{+0.17}_{-0.23},
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.52,,6,"[319, 108, 655, 785]",doc28_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 2... D01 1.52^{+0.02}_{-0.06},
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.42,,10,"[358, 108, 617, 958]",doc28_p10,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 3. As Table 2 with the intrinsic photon index Γ frozen... Period Γ ... J96L 1.42,
2007A&A...463..903D,Sy1,NGC 4151,xray_photon_index,1.54,,10,"[277, 140, 476, 832]",doc28_p10,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,Table 3... J96H 1.54,
2007ApJ...670..105O,Sy1,NGC 4151,black_hole_mass,45700000,M_sun,1,"[653, 678, 691, 697]",doc24_p1,vlm_text,0.98,reverberation mapping,scope: global;metric: black_hole_mass,...published by Bentz et al. (4.57^{+0.57}_{-0.47} \times 10^7 M_\odot),
2008A&A...486...99S,Sy1,NGC 4151,fwhm_broad_hbeta,6110,km/s,10,"[67, 63, 950, 232]",doc10_p10,vlm_table,0.95,spectral line profile fitting,scope: global;metric: fwhm_broad_hbeta,"Table 12. The Full Widths at Half Maximum (FWHM) ... for the averaged and rms profiles of Hα, Hβ during the three periods. ... mean profile ... FWHM (Hβ) 6110±440",
2010A&A...509A.106S,Sy1,NGC 4151,fwhm_broad_hbeta,6860,km s^{-1},16,"[0, 0, 1000, 1000]",doc9_p16,vlm_table,0.95,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 2. The FWHM and asymmetry of the Hα and Hβ broad emission lines in the period of 1996–2006. Columns: ... 3 - the FWHM of Hβ; ... 1996b_01 50096.0 6860 ± 566,
2010ApJ...714.1497W,Sy1,NGC 4151,xray_photon_index,1.35,,2,"[137, 556, 178, 576]",doc31_p2,vlm_text,0.95,spectral fitting,scope: global;metric: xray_photon_index,"(2) The photon spectral index (Γ) of the hard power law spectrum varies between ~ 1.35 and ~ 1.7, and correlates with the 2–10 keV flux",
2010ApJ...714.1497W,Sy1,NGC 4151,xray_photon_index,0.32,,3,"[418, 327, 458, 347]",doc31_p3,vlm_text,0.95,spectral fitting,scope: global;metric: xray_photon_index,"Yang et al. (2001) presented Chandra observations of NGC 4151 and found that the 2–9 keV spectrum of the nucleus is described by a heavily absorbed (NH ≃ 3 × 1022 cm−2), extremely hard power law (phot",
2010ApJ...714.1497W,Sy1,NGC 4151,xray_photon_index,0.4,,3,"[315, 367, 395, 387]",doc31_p3,vlm_text,0.95,spectral fitting,scope: global;metric: xray_photon_index,"This is consistent with the Chandra HETG spectra reported in Ogle et al. (2000), in which the hard continuum emission is characterized by a photon index Γ = 0.4 ± 0.3",
2010ApJ...714.1497W,Sy1,NGC 4151,xray_photon_index,1.9,,12,"[359, 627, 443, 648]",doc31_p12,vlm_text,0.95,spectral fitting,scope: global;metric: xray_photon_index,"for both spectra, the partial covering model provides acceptable values for the continuum slope (Γ = 1.9 ± 0.05 for the total spectrum, Γ = 1.8 ± 0.2 for the low-state spectrum).",
2010ApJ...714.1497W,Sy1,NGC 4151,xray_photon_index,1.8,,12,"[671, 627, 745, 648]",doc31_p12,vlm_text,0.95,spectral fitting,scope: global;metric: xray_photon_index,"for both spectra, the partial covering model provides acceptable values for the continuum slope (Γ = 1.9 ± 0.05 for the total spectrum, Γ = 1.8 ± 0.2 for the low-state spectrum).",
2010ApJ...714.1497W,Sy1,NGC 4151,xray_photon_index,1.7,,12,"[529, 728, 608, 748]",doc31_p12,vlm_text,0.95,spectral fitting,scope: global;metric: xray_photon_index,"The simple power law model provides a “normal” value of the continuum slope for the total spectrum (Γ = 1.7 ± 0.1), but an extremely flat value for the low state spectrum (Γ = 1.2 ± 0.2).",
2010ApJ...714.1497W,Sy1,NGC 4151,xray_photon_index,1.2,,12,"[368, 748, 449, 768]",doc31_p12,vlm_text,0.95,spectral fitting,scope: global;metric: xray_photon_index,"The simple power law model provides a “normal” value of the continuum slope for the total spectrum (Γ = 1.7 ± 0.1), but an extremely flat value for the low state spectrum (Γ = 1.2 ± 0.2).",
2010MNRAS.408.1851L,Sy1,NGC 4151,xray_photon_index,1.71,,6,"[80, 110, 892, 749]",doc30_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,"Table 3. Spectral fitting results for the e-folded power-law model including reflection... State: Bright, Γ: 1.71^{+0.06}_{-0.01}",
2010MNRAS.408.1851L,Sy1,NGC 4151,xray_photon_index,1.81,,6,"[80, 110, 892, 749]",doc30_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,"Table 3... State: Medium, Γ: 1.81^{+0.03}_{-0.03}",
2010MNRAS.408.1851L,Sy1,NGC 4151,xray_photon_index,1.81,,6,"[80, 110, 892, 749]",doc30_p6,vlm_table,0.95,spectral fitting,scope: global;metric: xray_photon_index,"Table 3... State: Dim, Γ: 1.81^{+0.01}_{-0.01}",
2014ApJ...791...37O,Sy1,NGC 4151,black_hole_mass,3.76 ± 1.15 × 10^7,Msun,1,"[608, 329, 623, 351]",doc14_p1,vlm_text,0.98,stellar dynamical modeling,scope: global;metric: black_hole_mass,Our best estimates for the BH mass and H-band mass-to-light ratio are M_BH ~ 3.76 ± 1.15 × 10^7 M_sun (1σ error)...,
2014MNRAS.438.2980C,Sy1,NGC 4151,black_hole_mass,4.6,10^7 Msun,3,"[361, 402, 386, 418]",doc25_p3,vlm_text,0.98,optical reverberation mapping,scope: global;metric: black_hole_mass,"The mass of NGC 4151 is estimated as M = (4.6 ± 0.5) × 10^7 M_sun (Bentz et al. 2006), so this lag corresponds to approximately 13 R_G.",
2015ApJ...806..149K,Sy1,NGC 4151,black_hole_mass,4.57,10^7 M_sun,2,"[264, 615, 300, 633]",doc13_p2,vlm_text,0.98,optical and UV reverberation,scope: global;metric: black_hole_mass,"The source has bolometric luminosity L_bol ~ 5 x 10^43 erg s^-1 (Woo & Urry 2002), SMBH mass M = 4.57 +0.57 -0.47 x 10^7 M_sun from optical and UV reverberation (Bentz et al. 2006)...",
2019ApJ...877...65N,Sy1,NGC 4151,black_hole_mass,37000000,M_sun,3,"[685, 668, 716, 688]",doc18_p3,vlm_text,0.95,virial (C IV line profile),scope: global;metric: black_hole_mass,"For example, from the detailed study of C IV line profile, Clavel et al. (1987) found the mass of the central black hole to be 3.7 ± 0.5 × 10^7 M_sun.",
2020MNRAS.491.5126M,Sy1,NGC 4151,black_hole_mass,4 x 10^7,Msun,4,"[350, 499, 364, 515]",doc22_p4,vlm_text,0.95,fixed parameter from literature (E17),scope: global;metric: black_hole_mass,The black hole mass is fixed to M_BH = 4 x 10^7 M_sun (as used by E17). We also fix the distance of NGC 4151 to D = 19 Mpc and assume an inclination angle of i = 53° (i.e. cos(i) = 0.6).,
2021ApJ...916...25R,Sy1,NGC 4151,black_hole_mass,3.57^{+0.45}_{-0.43},10^7 Msun,13,"[79, 90, 921, 725]",doc15_p13,vlm_table,0.95,reverberation mapping,scope: global;metric: black_hole_mass,TABLE 3 MEASUREMENTS OF M_BH FOR NGC 4151 ... Hβ RM 3.57^{+0.45}_{-0.43} Bentz et al. (2006),
2021ApJ...916...25R,Sy1,NGC 4151,black_hole_mass,2.06^{+0.05}_{-0.05},10^7 Msun,13,"[79, 90, 921, 725]",doc15_p13,vlm_table,0.95,reverberation mapping,scope: global;metric: black_hole_mass,TABLE 3 MEASUREMENTS OF M_BH FOR NGC 4151 ... Hβ RM 2.06^{+0.05}_{-0.05} De Rosa et al. (2018),
2022ApJ...934..168B,Sy1,NGC 4151,black_hole_mass,4.45,10^7 Msun,10,"[78, 81, 921, 717]",doc19_p10,vlm_table,0.95,Hβ Reverberation Mapping,scope: global;metric: black_hole_mass,Table 2. Direct Measurements of M_BH for NGC 4151 ... Hβ RM | 4.45^{+0.79}_{-0.56} | Bentz et al. (2006),
2022ApJ...934..168B,Sy1,NGC 4151,black_hole_mass,2.41,10^7 Msun,10,"[78, 81, 921, 717]",doc19_p10,vlm_table,0.95,Hβ Reverberation Mapping,scope: global;metric: black_hole_mass,Table 2. Direct Measurements of M_BH for NGC 4151 ... Hβ RM | 2.41^{+0.18}_{-0.21} | De Rosa et al. (2018),
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,6650.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,"Table 3. Time Lags (in the Rest Frame), Line Widths and BH Masses from All Available Campaigns ... S2 ... Mean Spectra FWHM (km s⁻¹) 6650 ± 29",
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,6360,km s¹,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S3 ... Mean Spectra FWHM (km s⁻¹) 6360 ± 21,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,4677.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S20 ... Mean Spectra FWHM (km s⁻¹) 4677 ± 19,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,5072.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S21 ... Mean Spectra FWHM (km s⁻¹) 5072 ± 17,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,4799.0,km/s,17,"[76, 901, 924, 969]",doc23_p17,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3—continued ... L22 ... Mean Spectra FWHM (km s⁻¹) 4799 ± 20,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,7099.0,km/s,17,"[76, 901, 924, 969]",doc23_p17,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3—continued ... L22 ... Mean Spectra FWHM (km s⁻¹) 7099 ± 52,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,5003.0,km/s,17,"[76, 901, 924, 969]",doc23_p17,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3—continued ... L22 ... Mean Spectra FWHM (km s⁻¹) 5003 ± 13,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,6031,km s¹,17,"[76, 901, 924, 969]",doc23_p17,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3—continued ... L22 ... Mean Spectra FWHM (km s⁻¹) 6031 ± 50,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,4897.0,km/s,17,"[76, 901, 924, 969]",doc23_p17,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3—continued ... L22 ... Mean Spectra FWHM (km s¹) 4897 ± 5,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,5741.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S4 ... Mean Spectra FWHM (km s⁻¹) 5741 ± 21,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,6069.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S5 ... Mean Spectra FWHM (km s⁻¹) 6069 ± 22,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,5714.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S6 ... Mean Spectra FWHM (km s⁻¹) 5714 ± 21,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,7352.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S9 ... Mean Spectra FWHM (km s⁻¹) 7352 ± 34,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,6224.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S10 ... Mean Spectra FWHM (km s⁻¹) 6224 ± 24,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,6118.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S11 ... Mean Spectra FWHM (km s⁻¹) 6118 ± 42,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,5366.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S18 ... Mean Spectra FWHM (km s⁻¹) 5366 ± 18,
2023MNRAS.520.1807C,Sy1,NGC 4151,fwhm_broad_hbeta,5191.0,km/s,16,"[67, 899, 217, 969]",doc23_p16,vlm_table,0.98,spectroscopy,scope: global;metric: fwhm_broad_hbeta,Table 3 ... S19 ... Mean Spectra FWHM (km s⁻¹) 5191 ± 12,
2023MNRAS.521.2897W,Sy1,NGC 4151,black_hole_mass,37100000,M_sun,2,"[159, 349, 193, 366]",doc27_p2,vlm_text,0.95,H_beta reverberation mapping,scope: global;metric: black_hole_mass,"With the same technique but with higher-quality data and refined modeling methods, Roberts et al. (2021) constrained the M_BH range to be 5 x 10^6 - 2 x 10^7 M_sun, which they extended to 2.5 x 10^6 -",
2023MNRAS.521.2897W,Sy1,NGC 4151,black_hole_mass,21400000,M_sun,2,"[379, 363, 412, 380]",doc27_p2,vlm_text,0.95,H_beta reverberation mapping,scope: global;metric: black_hole_mass,"Using H_beta reverberation mapping, Bentz et al. (2006) derived 3.71 x 10^7 M_sun. With the same technique but with higher-quality data and refined modeling methods, Roberts et al. (2021) constrained ",
2023MNRAS.521.2897W,Sy1,NGC 4151,black_hole_mass,16600000,M_sun,2,"[374, 405, 408, 422]",doc27_p2,vlm_text,0.95,H_beta reverberation mapping,scope: global;metric: black_hole_mass,"Very recently, by directly modeling the BLR from the reverberation mapping campaign (and, hence, without making any assumption on the virial factor f), Bentz et al. (2022) obtained 1.66 x 10^7 M_sun.",
2023MNRAS.521.2897W,Sy1,NGC 4151,black_hole_mass,19200000,M_sun,2,"[67, 461, 100, 478]",doc27_p2,vlm_text,0.95,X-ray reverberation mapping,scope: global;metric: black_hole_mass,"Finally, using X-ray reverberation mapping, where the time delay of the variable component of the narrow Fe K_alpha line is measured with respect to the X-ray continuum, Zoghbi et al. (2019) inferred ",
2023MNRAS.521.2897W,Sy1,NGC 4151,black_hole_mass,37000000,M_sun,3,"[67, 72, 915, 262]",doc27_p3,vlm_table,0.95,H_beta reverberation mapping,scope: global;metric: black_hole_mass,Table 1. M_BH measurements derived from direct methods... Bentz et al. (2006) H_beta reverberation mapping 3.7 x 10^7,
2023MNRAS.521.2897W,Sy1,NGC 4151,black_hole_mass,21000000,M_sun,3,"[67, 72, 915, 262]",doc27_p3,vlm_table,0.95,H_beta reverberation mapping,scope: global;metric: black_hole_mass,Table 1. M_BH measurements derived from direct methods... De Rosa et al. (2018) H_beta reverberation mapping 2.1 x 10^7,
2023MNRAS.521.2897W,Sy1,NGC 4151,black_hole_mass,17000000,M_sun,3,"[67, 72, 915, 262]",doc27_p3,vlm_table,0.95,H_beta reverberation mapping,scope: global;metric: black_hole_mass,Table 1. M_BH measurements derived from direct methods... Bentz et al. (2022) H_beta reverberation mapping 1.7 x 10^7,
2023MNRAS.521.2897W,Sy1,NGC 4151,black_hole_mass,19000000,M_sun,3,"[67, 72, 915, 262]",doc27_p3,vlm_table,0.95,X-ray reverberation mapping,scope: global;metric: black_hole_mass,Table 1. M_BH measurements derived from direct methods... Zoghbi et al. (2019) X-ray reverberation mapping 1.9 x 10^7,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,6630,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 8 1994 Dec-1995 Jun ... FWHM_mean (km s^{-1}) 6630±29,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,6360,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 9 1995 Nov-1996 Jul ... FWHM_mean (km s^{-1}) 6360±21,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,5191,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 33 2019 Nov-2020 Mar ... FWHM_mean (km s^{-1}) 5191±12,
