source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2012A&A...548A.113D,s*r,Betelgeuse,stellar_radius,7.5 x 10^13,cm,14,"[67, 282, 950, 906]",doc24_p14,vlm_table,0.98,model,scope: global;metric: stellar_radius,Table 2: Physical parameters of the envelope of Betelgeuse. ... Stellar radius R* = 7.5 x 10^13 cm,
2012A&A...548A.113D,s*r,Betelgeuse,teff,3500,K,14,"[67, 282, 950, 906]",doc24_p14,vlm_table,0.98,model,scope: global;metric: teff,Table 2: Physical parameters of the envelope of Betelgeuse. ... Photospheric temperature T* = 3500 K,
2014A&A...572A..17M,s*r,Betelgeuse,stellar_radius,897,Rsun,3,"[699, 602, 731, 619]",doc33_p3,vlm_text,0.98,derived from limb-darkened measurements and distance,scope: global;metric: stellar_radius,"From our limb-darkened measurements and the distance of 197 ± 45 pc (Harper et al. 2008), we derive the stellar radius of Betelgeuse R* = 897 ± 211 Rsun and its luminosity...",
2015A&A...580A.101O,s*r,Betelgeuse,teff,3690,K,4,"[0, 0, 1000, 1000]",doc4_p4,vlm_text,0.95,literature reference (Ohnaka et al. 2011),scope: global;metric: teff,"The vertical and horizontal dashed lines represent the photospheric radius of 21.24 mas and the photospheric effective temperature of 3690 K, respectively (Ohnaka et al. 2011)",
2016A&A...588A.130M,s*r,Betelgeuse,stellar_mass,11.6,Msun,1,"[690, 888, 726, 905]",doc20_p1,vlm_text,0.95,derived from evolutionary tracks,scope: global;metric: stellar_mass,"It is a M2Iab prototypical RSG, with a mass estimated between 11.6 +5.0 -3.9 M_sun (Neilson et al. 2011)",
2016A&A...588A.130M,s*r,Betelgeuse,stellar_radius,1000,Rsun,1,"[558, 874, 598, 891]",doc20_p1,vlm_text,0.95,derived from angular diameter and distance,scope: global;metric: stellar_radius,"converting to an extremely large linear radius of the order of 1000 R_sun. It is a M2Iab prototypical RSG, with a mass estimated between 11.6 +5.0 -3.9 M_sun",
2016A&A...591A.119A,s*r,Betelgeuse,teff,3750,K,2,"[682, 483, 738, 500]",doc26_p2,vlm_text,0.95,model fitting,scope: global;metric: teff,"We used a solar abundance line mask calculated from data provided by the Vienna Atomic Line Database (VALD, Kupka et al. 1999) for an effective temperature of 3750 K, surface gravity log g = 0.0, and ",
2016ApJ...819....7D,s*r,Betelgeuse,stellar_mass,20,Msun,1,"[655, 763, 678, 780]",doc6_p1,vlm_text,0.95,evolutionary model fitting,scope: global;metric: stellar_mass,"Based upon the best fit to all observed data, we suggest a best progenitor mass estimate of 20^{+5}_{-3} M_sun and a current age from the start of the zero-age main sequence of 8.0 - 8.5 Myr",
2017A&A...602L..10O,s*r,Betelgeuse,teff,3690,K,1,"[717, 419, 767, 435]",doc23_p1,vlm_text,0.95,literature reference,scope: global;metric: teff,It is below both the photospheric effective temperature (T_eff = 3690 K) and the temperatures at ~2 R_*.,
2017MNRAS.465.2654W,s*r,Betelgeuse,teff,3500,K,2,"[67, 638, 105, 654]",doc9_p2,vlm_text,0.98,observational constraints,scope: global;metric: teff,We compared the results of our models to the observational constraints on Betelgeuse as given by Dolan et al. (2016): log L/L⊙ = 5.10 ± 0.22; R/R⊙ = 887 ± 203; Teff = 3500 ± 200K.,
2018A&A...609A..67K,s*r,Betelgeuse,stellar_radius,1400,R_sun,9,"[790, 520, 830, 537]",doc12_p9,vlm_text,0.95,derived from angular radius and parallax,scope: global;metric: stellar_radius,Assuming a mass of M_Bet = 15 ± 5 M_sun and a radius of R_star = 1400 ± 250 R_sun (from our equivalent ALMA continuum angular radius and the parallax pi = 4.51 ± 0.80 mas by Harper et al. 2017a),
2018A&A...615A.116M,s*r,Betelgeuse,teff,3750,K,2,"[764, 327, 819, 343]",doc27_p2,vlm_text,0.95,spectral analysis (LSD method with VALD line mask),scope: global;metric: teff,"We used a solar abundance line mask (similar to that of Aurière et al. 2016), calculated from data provided by VALD (Kupka et al. 1999) for an effective temperature of 3750 K, log g = 0.0, and a micro",
2019A&A...628A.101H,s*r,Betelgeuse,stellar_radius,900,Rsun,6,"[67, 177, 951, 813]",doc34_p6,vlm_table,0.95,model parameter,scope: global;metric: stellar_radius,Table 4. Parameters describing the star and dust shell models used for MCFOST simulations. ... Stellar radius 900 R_sun,
2020ApJ...891L..37L,s*r,Betelgeuse,teff,3600,K,1,"[281, 354, 387, 373]",doc29_p1,vlm_text,0.98,optical spectrophotometry and MARCS stellar atmosphere models,scope: global;metric: teff,we conclude that Betelgeuse has a current effective temperature of 3600 ± 25 K. While this is slightly cooler than previous measurements taken prior to Betelgeuse's recent lightcurve evolution,
2022MNRAS.516..693N,s*r,Betelgeuse,stellar_mass,14,Msun,1,"[396, 501, 419, 518]",doc19_p1,vlm_text,0.95,evolutionary tracks,scope: global;metric: stellar_mass,Evolutionary tracks from MIST consistent with both its colour evolution and its location on the CMD suggest a mass of ~14Msun at ~14 Myr.,
2022MNRAS.516..693N,s*r,Betelgeuse,stellar_mass,14,Msun,15,"[770, 350, 792, 366]",doc19_p15,vlm_text,0.95,CMD and historical colour evolution,scope: global;metric: stellar_mass,"Our mass estimates for Betelgeuse (~ 14 Msun) and Antares A (~13, 15, or 16 Msun), based on consistency with both the CMD (Fig. 1) and the historical colour evolution as observed (Table 3), are in agr",
2023A&A...675A..46C,s*r,Betelgeuse,stellar_mass,15,Msun,5,"[735, 236, 758, 252]",doc18_p5,vlm_text,0.95,model parameter,scope: global;metric: stellar_mass,"we ran a comparison test with a MARCS stellar atmosphere model from Decin (2000) with the following parameters: T_eff = 3600 K, log g = 0.00, [Fe/H] = 0.00 and M = 15 M_sun.",
2023MNRAS.526.2765S,s*r,Betelgeuse,stellar_mass,11  12,Msun,1,"[304, 344, 328, 362]",doc28_p1,vlm_text,0.95,derived from luminosity and evolutionary tracks,scope: global;metric: stellar_mass,Models with similar pulsation property have masses of 11 ~ 12 M_sun (19 M_sun at ZAMS) with luminosities...,
2023MNRAS.526.2765S,s*r,Betelgeuse,stellar_radius,1300,Rsun,6,"[776, 443, 813, 459]",doc28_p6,vlm_text,0.9,interferometric measurements and model fitting,scope: global;metric: stellar_radius,A large radius of about 1300 R_sun (needed for the long-period fundamental mode) is supported by some interferometric measurements...,
2023MNRAS.526.2765S,s*r,Betelgeuse,teff,3.53,log K,1,"[229, 360, 244, 378]",doc28_p1,vlm_text,0.95,observational determination,scope: global;metric: teff,...and effective temperatures (log T_eff ≈ 3.53) that are consistent with the range of the observational determinations.,
2023MNRAS.526.2765S,s*r,Betelgeuse,teff,3500  100,K,2,"[245, 138, 282, 154]",doc28_p2,vlm_text,0.98,fitting of synthetic profiles,scope: global;metric: teff,Lobel & Dupree (2000) obtained the surface gravity log g = -0.5 and effective temperature T_eff = 3500 ± 100 K by fitting of synthetic profiles...,
2023MNRAS.526.2765S,s*r,Betelgeuse,teff,3540  260,K,2,"[238, 96, 327, 112]",doc28_p2,vlm_text,0.98,CO equivalent widths from near-IR spectra,scope: global;metric: teff,"Furthermore, from CO equivalent widths for Betelgeuse Carr et al. (2000) obtained T_eff = 3540 ± 260 K.",
2023MNRAS.526.2765S,s*r,Betelgeuse,teff,3600  25,K,2,"[281, 110, 364, 126]",doc28_p2,vlm_text,0.98,optical spectrophotometry,scope: global;metric: teff,"More recently, Levesque & Massey (2020) obtained T_eff = 3600 ± 25 K from optical spectrophotometry.",
2023MNRAS.526.2765S,s*r,Betelgeuse,teff,3500  200,K,2,"[245, 138, 336, 154]",doc28_p2,vlm_text,0.95,adopted from spectroscopic determinations,scope: global;metric: teff,"Based on these spectrosopic T_eff determinations for Betelgeuse, we adopt T_eff = 3500 ± 200 K for a constraint for our models...",
2023MNRAS.526.2765S,s*r,Betelgeuse,teff,3.544  0.025,log K,3,"[67, 287, 924, 922]",doc28_p3,vlm_table,0.95,model fitting,scope: global;metric: teff,Table 2. Model examples which excite pulsations consistent with periods of Betelgeuse... log T_eff[K] 3.544 ± 0.025,
2023NewA...9901962J,s*r,Betelgeuse,stellar_radius,887,R_sun,1,"[131, 611, 163, 628]",doc25_p1,vlm_text,0.95,multi-wavelength observations,scope: global;metric: stellar_radius,A reliable estimate of distance determined by Harper et al. (2008) 887 ± 203 R_sun is based on multi-wavelength observations.,
2024MNRAS.527L..88D,s*r,Betelgeuse,teff,3650,K,2,"[187, 96, 262, 112]",doc15_p2,vlm_text,0.95,spectro-photometric observations,scope: global;metric: teff,"Its effective temperature Teff is estimated to range from 3650±25 K, using spectro-photometric observations (Levesque et al. 2005), to 3690±54 K (Ohnaka 2014)",
2024MNRAS.527L..88D,s*r,Betelgeuse,teff,3690,K,2,"[307, 110, 382, 126]",doc15_p2,vlm_text,0.95,spectro-interferometric observations,scope: global;metric: teff,"Its effective temperature Teff is estimated to range from 3650±25 K, using spectro-photometric observations (Levesque et al. 2005), to 3690±54 K (Ohnaka 2014)",
2025ApJ...978...50M,s*r,Betelgeuse,stellar_radius,796,Rsun,17,"[672, 755, 703, 773]",doc10_p17,vlm_text,0.95,parallax inversion and angular size measurement,scope: global;metric: stellar_radius,"Based on the observed 42.28 ± 0.43 mas apparent photospheric radius of Montargès et al. (2014), the estimated stellar radius is R_a ≈ 796 R_sun (d / 175 pc)",
2025Galax..13...50D,s*r,Betelgeuse,stellar_mass,20.0,Msun,5,"[101, 185, 945, 820]",doc17_p5,vlm_table,0.95,evolutionary tracks,scope: global;metric: stellar_mass,Table 1. Fundamental parameters of Betelgeuse... Initial mass | 20 +5 -3 Msun | [43] | d = 197 ± 45 pc,
2025Galax..13...50D,s*r,Betelgeuse,stellar_mass,19.549999999999997,Msun,5,"[101, 185, 945, 820]",doc17_p5,vlm_table,0.95,evolutionary tracks,scope: global;metric: stellar_mass,Table 1. Fundamental parameters of Betelgeuse... Current mass | 19.4 - 19.7 | [43] | d = 197 ± 45 pc,
2025Galax..13...50D,s*r,Betelgeuse,stellar_mass,19.5,Msun,5,"[101, 185, 945, 820]",doc17_p5,vlm_table,0.95,seismic analysis,scope: global;metric: stellar_mass,Table 1. Fundamental parameters of Betelgeuse... Initial mass | 18 - 21 Msun | [37] | Seismic analysis,
2025Galax..13...50D,s*r,Betelgeuse,stellar_mass,17.8,Msun,5,"[101, 185, 945, 820]",doc17_p5,vlm_table,0.95,seismic analysis,scope: global;metric: stellar_mass,Table 1. Fundamental parameters of Betelgeuse... Current mass | 16.6 - 19 Msun | [37] | Seismic analysis,
2025Galax..13...50D,s*r,Betelgeuse,stellar_mass,19,Msun,5,"[101, 185, 945, 820]",doc17_p5,vlm_table,0.95,seismic analysis,scope: global;metric: stellar_mass,Table 1. Fundamental parameters of Betelgeuse... Initial mass | 19 Msun | [44] | d = 222 +48 -34 pc Seismic analysis,
2025Galax..13...50D,s*r,Betelgeuse,stellar_mass,11.5,Msun,5,"[101, 185, 945, 820]",doc17_p5,vlm_table,0.95,seismic analysis,scope: global;metric: stellar_mass,Table 1. Fundamental parameters of Betelgeuse... Current mass | 11 - 12 Msun | [44] | d = 222 +48 -34 pc Seismic analysis,
SRC_DB_TIC,s*r,Betelgeuse,teff,3601.6,K,,,,database_query,,,,,
